NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,OCTO_RECORD_ID,ANC,REPORT_DAT,METHOD,location,LATITUDE
cluster 8,005800,property,-77.0308021853212,2018-04-30T13:17:27.000,theft/other,day,136611,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397328,1300 - 1399 block of f street nw,2018-04-30T11:37:18.000,18068782,theft/other,18068782-01,2C,2018-05-01T18:38:45.000Z,others,"38.897352551739573,-77.030804478288715",38.8973447652886
cluster 8,005800,property,-77.0319777385228,2018-02-22T19:58:33.000,theft/other,evening,136542,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397226,500 - 599 block of 14th street nw,2018-02-22T19:01:43.000,18030251,theft/other,18030251-01,2C,2018-02-23T00:58:34.000Z,others,"38.896730658591935,-77.031980031818335",38.8967228723102
cluster 8,010100,property,-77.0308039046424,2018-03-05T17:06:21.000,theft f/auto,evening,137053,2,2,2018,property|theft f/auto,downtown,2D3,209,7,010100 1,precinct 129,397328,1300 - 1399 block of i street nw,2018-03-05T16:00:25.000,18036512,theft f/auto,18036512-01,2C,2018-03-05T23:59:57.000Z,others,"38.901334247229343,-77.030806197853636",38.9013264599755
cluster 8,005800,property,-77.0280823069806,2018-10-19T21:42:42.000,theft f/auto,midnight,136801,2,2,2018,property|theft f/auto,downtown,2D3,209,7,005800 1,precinct 129,397564,700 - 799 block of 12th street nw,2018-10-19T19:00:25.000,18177682,theft f/auto,18177682-01,2C,2018-10-20T04:17:14.000Z,others,"38.899064826422212,-77.028084599205727",38.8990570395245
cluster 8,005800,property,-77.029626551764,2018-12-12T13:00:04.000,theft/other,evening,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-12-12T09:15:00.000,18212715,theft/other,18212715-01,2C,2018-12-15T22:15:32.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.029626551764,2018-11-09T19:37:01.000,theft/other,evening,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-11-09T18:03:44.000,18190780,theft/other,18190780-01,2C,2018-11-10T02:37:38.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.029626551764,2018-11-02T15:50:30.000,theft/other,evening,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-11-02T15:41:07.000,18186427,theft/other,18186427-01,2C,2018-11-02T21:56:51.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,010100,violent,-77.0311031522281,2018-11-16T03:05:27.000,robbery,midnight,136928,2,2,2018,violent|robbery,downtown,2D3,209,4,010100 1,precinct 129,397302,1306 - 1399 block of h street nw,2018-11-16T03:04:46.000,18194661,robbery,18194661-01,2C,2018-11-16T11:05:32.000Z,others,"38.900208122985063,-77.03110544546368",38.9002003359694
cluster 8,005800,property,-77.0288665198976,2018-10-22T12:15:32.000,theft/other,day,136885,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397496,1200 - 1299 block of h street nw,2018-10-22T10:25:24.000,18179065,theft/other,18179065-01,2C,2018-10-22T17:30:51.000Z,others,"38.899821337625788,-77.028868812413165",38.8998135506047
cluster 8,005800,property,-77.0319777385228,2018-11-04T12:47:06.000,theft/other,day,136542,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397226,500 - 599 block of 14th street nw,2018-11-04T12:42:22.000,18187543,theft/other,18187543-01,2C,2018-11-04T19:17:55.000Z,others,"38.896730658591935,-77.031980031818335",38.8967228723102
cluster 8,005800,property,-77.0275632562836,2018-10-19T15:15:25.000,theft/other,evening,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397609,1100 - 1199 block of g street nw,2018-10-19T15:00:43.000,18177490,theft/other,18177490-01,2C,2018-10-19T23:43:48.000Z,others,"38.898317255946942,-77.027565548301482",38.8983094691806
cluster 8,010100,property,-77.0288552613857,2018-12-26T09:37:53.000,theft/other,day,136959,2,2,2018,property|theft/other,downtown,2D3,209,6,010100 1,precinct 129,397497,1200 - 1299 block of new york avenue nw,2018-12-26T09:35:04.000,18218758,theft/other,18218758-01,2C,2018-12-26T19:23:18.000Z,others,"38.900487959084074,-77.028857553938437",38.9004801719282
cluster 8,005800,property,-77.0296376230052,2018-09-28T11:10:58.000,theft/other,evening,136542,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397429,500 - 599 block of 13th street nw,2018-09-28T10:14:57.000,18163972,theft/other,18163972-01,2C,2018-09-28T19:16:04.000Z,others,"38.896731275821011,-77.029639915572076",38.8967234894519
cluster 8,005800,property,-77.0319777385228,2018-10-10T10:57:00.000,theft/other,day,136542,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397226,500 - 599 block of 14th street nw,2018-10-10T10:17:32.000,18171706,theft/other,18171706-01,2C,2018-10-10T15:46:10.000Z,others,"38.896730658591935,-77.031980031818335",38.8967228723102
cluster 8,010100,violent,-77.0336505541165,,assault w/dangerous weapon,midnight,136849,2,2,2018,violent|assault w/dangerous weapon,downtown,2D3,207,3,010100 1,precinct 17,397081,718 - 799 block of 15th street nw,2018-08-19T03:39:42.000,18137968,assault w/dangerous weapon,18137968-01,2B,2018-08-19T09:26:51.000Z,others,"38.89949575636841,-77.033652848101724",38.8994879695915
cluster 8,005800,property,-77.0288543832191,2018-08-30T10:45:21.000,theft/other,day,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2018-08-30T10:15:27.000,18145321,theft/other,18145321-01,2C,2018-08-30T16:38:04.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,005800,property,-77.0288665198976,2018-09-28T21:30:55.000,theft f/auto,evening,136885,2,2,2018,property|theft f/auto,downtown,2D3,209,7,005800 1,precinct 129,397496,1200 - 1299 block of h street nw,2018-09-28T20:45:07.000,18164424,theft f/auto,18164424-01,2C,2018-09-29T02:58:30.000Z,others,"38.899821337625788,-77.028868812413165",38.8998135506047
cluster 8,005800,property,-77.0319556355216,2017-09-22T17:03:06.000,theft/other,evening,136778,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397228,700 - 723 block of 14th street nw,2017-09-22T16:23:47.000,17164736,theft/other,17164736-01,2C,2017-09-22T23:34:41.000Z,others,"38.898856638638833,-77.031957928940045",38.8988488519276
cluster 8,005800,property,-77.0307910736005,2017-10-10T16:16:06.000,theft/other,evening,136718,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397329,1300 - 1399 block of g street nw,2017-10-10T16:15:33.000,17175830,theft/other,17175830-01,2C,2017-10-10T23:17:33.000Z,others,"38.898316449648604,-77.030793366623413",38.8983086630028
cluster 8,010100,violent,-77.0288552613857,2017-08-30T04:50:09.000,assault w/dangerous weapon,midnight,136959,2,2,2017,violent|assault w/dangerous weapon,downtown,2D3,209,3,010100 1,precinct 129,397497,1200 - 1299 block of new york avenue nw,2017-08-30T02:19:42.000,17149776,assault w/dangerous weapon,17149776-01,2C,2017-08-30T08:50:12.000Z,knife,"38.900487959084074,-77.028857553938437",38.9004801719282
cluster 8,005800,property,-77.029626551764,2017-09-14T00:07:29.000,theft f/auto,midnight,136664,2,2,2017,property|theft f/auto,downtown,2D3,209,7,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2017-09-13T23:15:44.000,17159196,theft f/auto,17159196-01,2C,2017-09-14T05:08:30.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.029626551764,2017-10-12T11:33:55.000,theft/other,day,136664,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2017-10-12T11:11:08.000,17176951,theft/other,17176951-01,2C,2017-10-12T16:57:21.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.0307910736005,2017-10-21T14:22:55.000,theft/other,evening,136718,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397329,1300 - 1399 block of g street nw,2017-10-21T14:20:33.000,17182746,theft/other,17182746-01,2C,2017-10-22T00:43:12.000Z,others,"38.898316449648604,-77.030793366623413",38.8983086630028
cluster 8,005800,property,-77.0288543832191,2017-10-31T15:30:03.000,theft/other,evening,136718,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2017-10-31T14:42:15.000,17188985,theft/other,17188985-01,2C,2017-10-31T19:44:08.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,005800,property,-77.0328088198348,2017-07-17T15:00:13.000,theft f/auto,evening,136805,2,2,2017,property|theft f/auto,downtown,2D3,207,7,005800 1,precinct 129,397154,1400 - 1499 block of new york avenue nw,2017-07-17T11:31:09.000,17122617,theft f/auto,17122617-01,2C,2017-07-17T20:28:16.000Z,others,"38.899099627898394,-77.032811113533725",38.8990918411699
cluster 8,005800,property,-77.0328088198348,2017-06-22T08:40:27.000,theft f/auto,day,136805,2,2,2017,property|theft f/auto,downtown,2D3,207,7,005800 1,precinct 129,397154,1400 - 1499 block of new york avenue nw,2017-06-21T15:45:00.000,17106262,theft f/auto,17106262-01,2C,2017-06-22T13:56:34.000Z,others,"38.899099627898394,-77.032811113533725",38.8990918411699
cluster 8,010100,violent,-77.0308039046424,2017-06-05T15:00:07.000,sex abuse,evening,137053,2,2,2017,violent|sex abuse,downtown,2D3,209,2,010100 1,precinct 129,397328,1300 - 1399 block of i street nw,2017-05-21T13:00:11.000,17095266,sex abuse,17095266-01,2C,2017-06-05T22:41:42.000Z,others,"38.901334247229343,-77.030806197853636",38.9013264599755
cluster 8,005800,property,-77.0288543832191,2017-06-22T19:49:43.000,theft/other,evening,136718,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2017-06-22T17:55:16.000,17106647,theft/other,17106647-01,2C,2017-06-22T23:50:01.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,005800,property,-77.028865517463,2017-09-08T20:20:30.000,theft/other,evening,136610,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397496,1200 - 1299 block of f street nw,2017-09-08T20:15:24.000,17155909,theft/other,17155909-01,2C,2017-09-09T00:55:45.000Z,others,"38.897344038041311,-77.028867809826934",38.8973362515198
cluster 8,005800,property,-77.0288543832191,2017-08-30T13:30:20.000,theft/other,evening,136718,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2017-08-30T13:00:17.000,17150084,theft/other,17150084-01,2C,2017-08-30T21:27:26.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
,006202,property,-77.0336497679838,2017-08-26T20:00:39.000,theft/other,evening,136664,2,2,2017,property|theft/other,,2D3,207,6,006202 1,precinct 2,397081,600 - 699 block of 15th street nw,2017-08-26T19:03:16.000,17147856,theft/other,17147856-01,2A,2017-08-27T00:00:40.000Z,others,"38.897829209428814,-77.033652061867045",38.8978214229879
cluster 8,005800,property,-77.029626551764,2017-09-05T16:55:49.000,theft/other,evening,136664,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2017-09-05T15:39:22.000,17153806,theft/other,17153806-01,2C,2017-09-05T20:55:51.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.0296376230052,2017-09-15T08:50:06.000,theft/other,day,136542,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397429,500 - 599 block of 13th street nw,2017-09-15T08:40:35.000,17160038,theft/other,17160038-01,2C,2017-09-15T15:19:00.000Z,others,"38.896731275821011,-77.029639915572076",38.8967234894519
cluster 8,010100,property,-77.0308039046424,2017-10-02T13:45:54.000,theft/other,day,137053,2,2,2017,property|theft/other,downtown,2D3,209,6,010100 1,precinct 129,397328,1300 - 1399 block of i street nw,2017-10-02T13:35:18.000,17170904,theft/other,17170904-01,2C,2017-10-02T18:35:10.000Z,others,"38.901334247229343,-77.030806197853636",38.9013264599755
cluster 8,005800,property,-77.0319777385228,2017-06-23T14:25:34.000,theft/other,evening,136542,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397226,500 - 599 block of 14th street nw,2017-06-23T14:21:08.000,17107091,theft/other,17107091-01,2C,2017-06-23T19:06:06.000Z,others,"38.896730658591935,-77.031980031818335",38.8967228723102
cluster 8,005800,property,-77.0288543832191,2017-12-21T20:00:01.000,theft/other,evening,136718,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2017-12-21T17:30:21.000,17219603,theft/other,17219603-01,2C,2017-12-22T03:04:06.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,005800,property,-77.0319667073705,,motor vehicle theft,midnight,136665,2,2,2018,property|motor vehicle theft,downtown,2D3,207,8,005800 1,precinct 129,397227,600 - 699 block of 14th street nw,2018-12-09T00:23:34.000,18208678,motor vehicle theft,18208678-01,2C,2018-12-09T07:07:45.000Z,others,"38.897838690533028,-77.031969000730271",38.8978309040274
cluster 8,005800,property,-77.0307910736005,2018-10-27T12:05:05.000,theft/other,midnight,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397329,1300 - 1399 block of g street nw,2018-10-27T11:59:01.000,18182415,theft/other,18182415-01,2C,2018-10-28T05:15:12.000Z,others,"38.898316449648604,-77.030793366623413",38.8983086630028
cluster 8,010100,property,-77.0319680233991,2017-06-04T08:30:49.000,theft/other,day,136991,2,2,2017,property|theft/other,downtown,2D3,209,6,010100 1,precinct 129,397227,800 - 899 block of 14th street nw,2017-06-03T08:30:17.000,17094572,theft/other,17094572-01,2C,2017-06-04T14:08:10.000Z,others,"38.900775416172223,-77.031970316938654",38.9007676290745
cluster 8,005800,property,-77.029626551764,2017-10-13T12:50:51.000,theft/other,day,136664,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2017-10-13T12:40:55.000,17177630,theft/other,17177630-01,2C,2017-10-13T18:20:32.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.0319777385228,2017-08-19T22:17:12.000,theft/other,evening,136542,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397226,500 - 599 block of 14th street nw,2017-08-19T21:14:44.000,17143522,theft/other,17143522-01,2C,2017-08-20T02:18:08.000Z,others,"38.896730658591935,-77.031980031818335",38.8967228723102
cluster 8,005800,property,-77.0288543832191,2017-09-22T11:01:54.000,theft/other,evening,136718,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2017-09-22T10:30:50.000,17164541,theft/other,17164541-01,2C,2017-09-22T22:15:26.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,005800,property,-77.0319777385228,2017-10-27T16:44:17.000,theft/other,evening,136542,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397226,500 - 599 block of 14th street nw,2017-10-27T15:52:52.000,17186656,theft/other,17186656-01,2C,2017-10-27T21:03:01.000Z,others,"38.896730658591935,-77.031980031818335",38.8967228723102
cluster 8,005800,property,-77.0319777385228,2017-10-28T13:30:58.000,theft/other,day,136542,2,2,2017,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397226,500 - 599 block of 14th street nw,2017-10-28T12:20:00.000,17187319,theft/other,17187319-01,2C,2017-10-29T18:27:32.000Z,others,"38.896730658591935,-77.031980031818335",38.8967228723102
cluster 8,010100,property,-77.0311031522281,2017-12-05T14:59:04.000,theft f/auto,day,136928,2,2,2017,property|theft f/auto,downtown,2D3,209,7,010100 1,precinct 129,397302,1306 - 1399 block of h street nw,2017-12-05T14:14:34.000,17209791,theft f/auto,17209791-01,2C,2017-12-24T16:04:04.000Z,others,"38.900208122985063,-77.03110544546368",38.9002003359694
cluster 8,005800,property,-77.0288543832191,,theft/other,evening,136718,2,2,2019,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2019-01-29T16:09:46.000,19016805,theft/other,19016805-01,2C,2019-01-29T22:44:23.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,005800,property,-77.029626551764,2019-03-01T17:57:54.000,theft/other,evening,136664,2,2,2019,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2019-03-01T17:20:22.000,19035499,theft/other,19035499-01,2C,2019-03-01T23:07:18.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.0328084635281,2019-04-17T08:30:36.000,theft/other,day,136719,2,2,2019,property|theft/other,downtown,2D3,207,6,005800 1,precinct 129,397154,1400 - 1499 block of g street nw,2019-04-16T18:00:57.000,19064977,theft/other,19064977-01,2C,2019-04-17T15:07:08.000Z,others,"38.898324908784794,-77.032810757179632",38.8983171222125
